timeid,fig_dataset,fig_no,rpm_percentage,me_sfoc
5098347,0,F02-1,0.77,207.42
5098348,0,F02-1,0.77,208.65
5098348,0,F02-1,0.77,208.65
5098349,0,F02-1,0.77,208.33
5098349,0,F02-1,0.77,208.33
5098350,0,F02-1,0.77,208.19
5098350,0,F02-1,0.77,208.19
5098351,0,F02-1,0.77,207.52
5098351,0,F02-1,0.77,207.52
5098352,0,F02-1,0.77,208.88
5098352,0,F02-1,0.77,208.88
5098353,0,F02-1,0.77,209.49
5098353,0,F02-1,0.77,209.49
5098354,0,F02-1,0.77,208.94
5098354,0,F02-1,0.77,208.94
5098355,0,F02-1,0.77,210.31
5098355,0,F02-1,0.77,210.31
5098356,0,F02-1,0.77,209.14
5098356,0,F02-1,0.77,209.14
5098357,0,F02-1,0.77,207.6
5098357,0,F02-1,0.77,207.6
5098358,0,F02-1,0.77,209.87
5098358,0,F02-1,0.77,209.87
5098359,0,F02-1,0.77,208.81
5098359,0,F02-1,0.77,208.81
5098360,0,F02-1,0.77,208.05
5098360,0,F02-1,0.77,208.05
5098361,0,F02-1,0.77,208.94
5098361,0,F02-1,0.77,208.94
5098362,0,F02-1,0.77,209.35
5098362,0,F02-1,0.77,209.35
5098363,0,F02-1,0.77,208.87
5098363,0,F02-1,0.77,208.87
5098364,0,F02-1,0.77,207.57
5098364,0,F02-1,0.77,207.57
5098365,0,F02-1,0.77,206.98
5098365,0,F02-1,0.77,206.98
5098366,0,F02-1,0.77,208.24
5098366,0,F02-1,0.77,208.24
5098367,0,F02-1,0.77,207.59
5098367,0,F02-1,0.77,207.59
5098368,0,F02-1,0.77,208.85
5098368,0,F02-1,0.77,208.85
5098369,0,F02-1,0.77,207.99
5098369,0,F02-1,0.77,207.99
5098370,0,F02-1,0.77,209.67
5098370,0,F02-1,0.77,209.67
5098371,0,F02-1,0.77,271.55
5098371,0,F02-1,0.77,271.55
5098372,0,F02-1,0.77,209.01
5098372,0,F02-1,0.77,209.01
5098373,0,F02-1,0.77,209.3
5098373,0,F02-1,0.77,209.3
5098374,0,F02-1,0.77,208.85
5098374,0,F02-1,0.77,208.85
5098375,0,F02-1,0.77,209.15
5098375,0,F02-1,0.77,209.15
5098376,0,F02-1,0.77,209.58
5098376,0,F02-1,0.77,209.58
5098377,0,F02-1,0.77,208.86
5098377,0,F02-1,0.77,208.86
5098378,0,F02-1,0.77,209.37
5098378,0,F02-1,0.77,209.37
5098379,0,F02-1,0.77,209.05
5098379,0,F02-1,0.77,209.05
5098380,0,F02-1,0.77,208.22
5098380,0,F02-1,0.77,208.22
5098381,0,F02-1,0.77,208.11
5098381,0,F02-1,0.77,208.11
5098382,0,F02-1,0.77,207.67
5098382,0,F02-1,0.77,207.67
5098383,0,F02-1,0.77,208.39
5098383,0,F02-1,0.77,208.39
5098384,0,F02-1,0.77,209.65
5098384,0,F02-1,0.77,209.65
5098385,0,F02-1,0.77,208.18
5098385,0,F02-1,0.77,208.18
5098386,0,F02-1,0.77,207.4
5098386,0,F02-1,0.77,207.4
5098387,0,F02-1,0.77,208.79
5098387,0,F02-1,0.77,208.79
5098388,0,F02-1,0.77,209.99
5098388,0,F02-1,0.77,209.99
5098389,0,F02-1,0.77,208.92
5098389,0,F02-1,0.77,208.92
5098390,0,F02-1,0.77,209.49
5098390,0,F02-1,0.77,209.49
5098391,0,F02-1,0.77,209.33
5098391,0,F02-1,0.77,209.33
5098392,0,F02-1,0.77,209.72
5098392,0,F02-1,0.77,209.72
5098393,0,F02-1,0.77,207.44
5098393,0,F02-1,0.77,207.44
5098394,0,F02-1,0.77,207.07
5098394,0,F02-1,0.77,207.07
5098395,0,F02-1,0.77,208.16
5098395,0,F02-1,0.77,208.16
5098396,0,F02-1,0.77,209.12
5098396,0,F02-1,0.77,209.12
5098397,0,F02-1,0.77,207.45
5098397,0,F02-1,0.77,207.45
5098398,0,F02-1,0.77,274.91
5098398,0,F02-1,0.77,274.91
5098399,0,F02-1,0.77,207.89
5098399,0,F02-1,0.77,207.89
5098400,0,F02-1,0.77,208.7
5098400,0,F02-1,0.77,208.7
5098401,0,F02-1,0.77,209.61
5098401,0,F02-1,0.77,209.61
5098402,0,F02-1,0.77,209.57
5098402,0,F02-1,0.77,209.57
5098403,0,F02-1,0.77,208.37
5098403,0,F02-1,0.77,208.37
5098404,0,F02-1,0.77,208.01
5098404,0,F02-1,0.77,208.01
5098405,0,F02-1,0.77,208.91
5098405,0,F02-1,0.77,208.91
5098406,0,F02-1,0.77,207.82
5098406,0,F02-1,0.77,207.82
5098407,0,F02-1,0.77,205.72
5098407,0,F02-1,0.77,205.72
5098408,0,F02-1,0.77,209.77
5098408,0,F02-1,0.77,209.77
5098409,0,F02-1,0.77,209.72
5098409,0,F02-1,0.77,209.72
5098410,0,F02-1,0.77,207.68
5098410,0,F02-1,0.77,207.68
5098411,0,F02-1,0.77,208.51
5098411,0,F02-1,0.77,208.51
5098412,0,F02-1,0.77,209.11
5098412,0,F02-1,0.77,209.11
5098413,0,F02-1,0.77,208.18
5098413,0,F02-1,0.77,208.18
5098414,0,F02-1,0.77,210.37
5098414,0,F02-1,0.77,210.37
5098415,0,F02-1,0.77,210.03
5098415,0,F02-1,0.77,210.03
5098416,0,F02-1,0.77,209.3
5098416,0,F02-1,0.77,209.3
5098417,0,F02-1,0.77,210.81
5098417,0,F02-1,0.77,210.81
5098418,0,F02-1,0.77,208.96
5098418,0,F02-1,0.77,208.96
5098419,0,F02-1,0.77,209.85
5098419,0,F02-1,0.77,209.85
5098420,0,F02-1,0.77,209.68
5098420,0,F02-1,0.77,209.68
5098421,0,F02-1,0.77,208.01
